H_estimate,H_error,mu,sigma,T
-0.44208,0.00037693,0.790106,0.632989,0.000943788
-0.441191,0.000395725,0.789772,0.633751,0.000943788
-0.441748,0.00038111,0.791042,0.634102,0.000943788
-0.442159,0.0003819,0.790831,0.634907,0.000943788
-0.441844,0.000374989,0.789453,0.634486,0.000943788
-0.442072,0.000397729,0.789453,0.634486,0.000943788
-0.441829,0.000375278,0.787569,0.635578,0.000943788
-0.440947,0.000393909,0.787364,0.63638,0.000943788
-0.441212,0.000393025,0.788523,0.635862,0.000943788
-0.440819,0.000394868,0.788946,0.636768,0.000943788
-0.440274,0.000406798,0.788215,0.638364,0.000943788
-0.440308,0.000398109,0.78822,0.638135,0.000943788
-0.440903,0.000392432,0.788903,0.638401,0.000943788
-0.440736,0.00039412,0.788903,0.638401,0.000943788
-0.439999,0.000405394,0.786175,0.638142,0.00093293
-0.440597,0.00039073,0.787253,0.636629,0.00093293
-0.440905,0.000395082,0.786262,0.63629,0.00093293
-0.4417,0.000379245,0.786262,0.63629,0.00093293
-0.441099,0.000379343,0.785256,0.63497,0.00093293
-0.440826,0.000378021,0.783248,0.635897,0.00093293
-0.440671,0.000385975,0.781713,0.637146,0.00093293
-0.440449,0.000395501,0.782397,0.637739,0.00093293
-0.44031,0.000398532,0.782397,0.637739,0.00093293
-0.440533,0.000383296,0.781759,0.637743,0.00093293
-0.44041,0.000389359,0.781759,0.637743,0.00093293
-0.439904,0.000388482,0.780312,0.637771,0.00093293
-0.440043,0.000387426,0.782398,0.63804,0.00093293
-0.440833,0.000377468,0.781446,0.637974,0.00093293
-0.440165,0.000387498,0.782599,0.639729,0.00093293
-0.439801,0.000399471,0.783099,0.63806,0.00093293
-0.43979,0.000393371,0.782145,0.639212,0.00093293
-0.440756,0.00038446,0.782145,0.639212,0.00093293
-0.440027,0.000400898,0.782145,0.639212,0.00093293
-0.440338,0.000385513,0.783027,0.638206,0.00093293
-0.439546,0.000397968,0.782358,0.639544,0.00093293
-0.43825,0.000419934,0.781548,0.641131,0.00093293
-0.438735,0.000403894,0.781548,0.641131,0.00093293
-0.439377,0.000399876,0.782538,0.641303,0.00093293
-0.439961,0.000393926,0.784224,0.640556,0.00093293
-0.439614,0.000397761,0.784224,0.640556,0.00093293
-0.439356,0.000412193,0.784224,0.640556,0.00093293
-0.440096,0.000403508,0.785114,0.640045,0.00093293
-0.440512,0.000402459,0.785661,0.639131,0.00093293
-0.440122,0.000390969,0.785552,0.639352,0.00093293
-0.440336,0.000386481,0.785714,0.639568,0.00093293
-0.440025,0.000401848,0.786191,0.640813,0.00093293
-0.439959,0.000398473,0.786328,0.640757,0.00093293
-0.439927,0.000404756,0.785876,0.64125,0.00093293
-0.43942,0.000407075,0.786639,0.640928,0.00093293
-0.440404,0.000393579,0.786881,0.639983,0.00093293
-0.44019,0.000396827,0.786033,0.638898,0.00093293
-0.440585,0.000389072,0.785923,0.637999,0.00093293
-0.440575,0.000388866,0.785693,0.638314,0.00093293
-0.440323,0.000400994,0.784879,0.638852,0.00093293
-0.440118,0.000402373,0.783436,0.638088,0.00093293
-0.439629,0.000402865,0.783104,0.639045,0.00093293
-0.440575,0.000390346,0.783094,0.638781,0.00093293
-0.44023,0.000397216,0.783094,0.638781,0.00093293
-0.439305,0.000401929,0.78333,0.640012,0.00093293
-0.440102,0.000402154,0.782605,0.640034,0.00093293
-0.440212,0.000393288,0.784636,0.640107,0.00093293
-0.440404,0.000399526,0.784636,0.640107,0.00093293
-0.439996,0.000396353,0.784861,0.641183,0.00093293
-0.439745,0.000401757,0.7853,0.641372,0.00093293
-0.439733,0.000410099,0.786641,0.640903,0.000922198
-0.440074,0.00040137,0.786583,0.640118,0.000922198
-0.440995,0.000384952,0.786968,0.639078,0.000922198
-0.440877,0.000406333,0.786968,0.639078,0.000922198
-0.441125,0.0003973,0.786968,0.639078,0.000922198
-0.440377,0.000401601,0.786968,0.639078,0.000922198
-0.44028,0.000391589,0.786968,0.639078,0.000922198
-0.440689,0.000403227,0.788919,0.638632,0.000922198
-0.440418,0.000403315,0.788919,0.638632,0.000922198
-0.440543,0.000401795,0.78912,0.637349,0.000922198
-0.440796,0.000402622,0.789599,0.637943,0.000922198
-0.440895,0.000399352,0.789286,0.636579,0.000922198
-0.441704,0.000400921,0.791508,0.635743,0.000922198
