H_estimate,H_error
-0.442383,0.00347656
-0.4423,0.00347196
-0.442308,0.0034664
-0.442338,0.00346098
-0.442487,0.00345865
-0.442497,0.00345315
-0.442655,0.00345126
-0.44267,0.0034458
-0.442562,0.00344203
-0.442274,0.00344856
-0.442353,0.003444
-0.442496,0.00344153
-0.442433,0.00343668
-0.44234,0.00343252
-0.442321,0.00342717
-0.442212,0.00342353
-0.442303,0.00341937
-0.442246,0.00341449
-0.442301,0.0034096
-0.442276,0.00340437
-0.442181,0.00340038
-0.442158,0.00339516
-0.442161,0.00338989
-0.442224,0.00338522
-0.442155,0.00338069
-0.442151,0.00337546
-0.442197,0.00337056
-0.442188,0.00336537
-0.442113,0.00336101
-0.441993,0.00335801
-0.44197,0.00335294
-0.44196,0.00334781
-0.442158,0.0033486
-0.442262,0.00334509
-0.442092,0.00334432
-0.442217,0.00334156
-0.442274,0.00333696
-0.442223,0.00333228
-0.442311,0.00332838
-0.442334,0.00332342
-0.442312,0.00331847
-0.442281,0.00331361
-0.44225,0.00330875
-0.442215,0.00330397
-0.442256,0.00329926
-0.442242,0.00329434
-0.442189,0.00328984
-0.442072,0.003287
-0.442074,0.00328209
-0.442141,0.00327789
-0.442317,0.00327771
-0.4423,0.00327288
-0.442411,0.00326991
-0.442436,0.00326516
-0.442358,0.00326127
-0.442361,0.00325645
-0.442155,0.0032582
-0.442047,0.00325518
-0.44218,0.00325311
-0.442181,0.00324833
-0.442108,0.00324439
-0.442304,0.00324557
-0.442295,0.00324083
-0.442462,0.00324037
-0.442329,0.00323839
-0.44244,0.00323559
-0.442445,0.00323089
-0.442478,0.00322636
-0.442563,0.0032228
-0.442591,0.00321826
-0.442511,0.00321459
-0.442593,0.00321099
-0.442677,0.00320744
-0.44262,0.00320332
-0.442322,0.0032126
-0.442312,0.003208
-0.442361,0.00320377
-0.442337,0.00319928
-0.442405,0.00319544
-0.442328,0.00319182
-0.442228,0.00318882
-0.441974,0.0031944
-0.441929,0.00319018
-0.441947,0.0031857
-0.441986,0.00318142
-0.442028,0.0031772
-0.442148,0.00317499
-0.442225,0.00317143
-0.442274,0.00316734
-0.442207,0.0031636
-0.442269,0.00315976
-0.442187,0.00315638
-0.44219,0.00315196
-0.442287,0.00314903
-0.442357,0.0031454
-0.442428,0.00314183
-0.442525,0.00313893
-0.442615,0.00313586
-0.442606,0.00313152
-0.442694,0.00312841
-0.44256,0.00312696
-0.442528,0.0031228
-0.442511,0.00311853
-0.442494,0.00311427
-0.442582,0.00311122
-0.442573,0.00310696
-0.44259,0.00310273
-0.44257,0.00309854
-0.442607,0.00309452
-0.44239,0.0030979
-0.441995,0.00311878
-0.442113,0.00311674
-0.442158,0.00311282
-0.442099,0.00310915
-0.44214,0.00310521
-0.442042,0.00310256
-0.442059,0.0030984
-0.441984,0.00309512
-0.441967,0.00309098
-0.442034,0.00308755
-0.442048,0.00308341
-0.442091,0.00307956
-0.442103,0.00307544
-0.441982,0.00307371
-0.442117,0.00307257
-0.442089,0.00306858
-0.442193,0.00306623
-0.442344,0.00306589
-0.442455,0.00306381
-0.442403,0.00306018
-0.442205,0.0030625
-0.442317,0.00306048
-0.442388,0.00305724
-0.442244,0.00305659
-0.442306,0.00305319
-0.442214,0.00305054
-0.442193,0.00304659
-0.442107,0.00304378
-0.442086,0.00303985
-0.442036,0.00303626
-0.442078,0.00303256
-0.442091,0.00302862
-0.442097,0.00302466
-0.442069,0.00302082
-0.442111,0.00301717
-0.442034,0.00301422
-0.442106,0.00301115
-0.44208,0.00300734
-0.442084,0.00300343
-0.441996,0.00300083
-0.442089,0.00299838
-0.442079,0.00299451
-0.442088,0.00299066
-0.442106,0.00298685
-0.442148,0.00298329
-0.44169,0.00301452
-0.441725,0.00301085
-0.44178,0.00300748
-0.441958,0.00300891
-0.441935,0.00300515
-0.441967,0.00300148
-0.442063,0.00299917
-0.442173,0.00299736
-0.442012,0.00299788
-0.441975,0.00299428
-0.441999,0.00299057
-0.442142,0.0029902
-0.442158,0.00298646
-0.442282,0.00298523
-0.442175,0.00298337
-0.442092,0.00298076
-0.441963,0.00297979
-0.441818,0.00297958
-0.441864,0.00297618
-0.441933,0.00297324
-0.441884,0.00296992
-0.441825,0.00296677
-0.441906,0.00296416
-0.4419,0.00296046
-0.442011,0.00295882
-0.442018,0.00295514
-0.441753,0.00296331
-0.441793,0.00295989
-0.44195,0.00296035
-0.441952,0.00295667
-0.442036,0.0029542
-0.441946,0.00295189
-0.441989,0.00294854
-0.44211,0.00294741
-0.442039,0.00294463
-0.442172,0.00294398
-0.442227,0.00294088
-0.442124,0.00293909
-0.442168,0.00293582
-0.44209,0.00293327
-0.442158,0.00293047
-0.442114,0.00292723
-0.442173,0.00292425
-0.442178,0.00292068
-0.442154,0.00291723
-0.442216,0.00291435
-0.442173,0.00291112
-0.442197,0.00290768
-0.441885,0.00292082
-0.441863,0.00291737
-0.441721,0.00291728
-0.441611,0.00291584
-0.441547,0.00291301
-0.441478,0.00291033
-0.441483,0.00290683
-0.441437,0.0029037
-0.441361,0.00290121
-0.441393,0.00289791
-0.441423,0.00289459
-0.441509,0.00289242
-0.441512,0.00288896
-0.441537,0.00288562
-0.441536,0.00288218
-0.441561,0.00287886
-0.441561,0.00287543
-0.441562,0.00287201
-0.441544,0.00286866
-0.441524,0.00286533
-0.4415,0.00286203
-0.441502,0.00285865
-0.441221,0.00286906
-0.441292,0.00286655
-0.441387,0.00286475
-0.441372,0.00286141
-0.441466,0.00285961
-0.441531,0.00285698
-0.441676,0.00285732
-0.441705,0.00285412
-0.441703,0.00285078
-0.44173,0.00284758
-0.441626,0.00284616
-0.441634,0.00284285
-0.441667,0.00283973
-0.441695,0.00283657
-0.441718,0.00283336
-0.441705,0.0028301
-0.441723,0.00282688
-0.441768,0.00282397
-0.441317,0.00285662
-0.441087,0.00286252
-0.441107,0.00285928
-0.441112,0.00285599
-0.441142,0.00285285
-0.441121,0.00284965
-0.441155,0.00284658
-0.441201,0.00284369
-0.441182,0.00284049
-0.440982,0.00284431
-0.441084,0.00284288
-0.441109,0.00283975
-0.441225,0.00283891
-0.44127,0.00283603
-0.441234,0.00283303
-0.441284,0.00283025
-0.441261,0.00282713
-0.441248,0.00282395
-0.441273,0.00282086
-0.4413,0.0028178
-0.44118,0.00281716
-0.441151,0.00281413
-0.441155,0.00281096
-0.441122,0.00280799
-0.441044,0.0028059
-0.441023,0.00280283
-0.441073,0.00280013
-0.441041,0.00279717
-0.441027,0.00279407
-0.440967,0.00279158
-0.441004,0.0027887
-0.441014,0.00278561
-0.440992,0.00278259
-0.440952,0.00277978
-0.440883,0.00277754
-0.440958,0.00277546
-0.441019,0.00277306
-0.44072,0.00278613
-0.440609,0.00278525
-0.440739,0.00278518
-0.440853,0.00278447
-0.440836,0.00278145
-0.440606,0.00278785
-0.440652,0.00278515
-0.440643,0.0027821
-0.440638,0.00277905
-0.440597,0.00277629
-0.440541,0.00277382
-0.440601,0.00277144
-0.440593,0.00276842
-0.440588,0.0027654
-0.440579,0.00276239
-0.440559,0.00275945
-0.440684,0.00275924
-0.440655,0.00275639
-0.440747,0.00275492
-0.440686,0.00275259
-0.440668,0.00274967
-0.440739,0.00274762
-0.440717,0.00274473
-0.440789,0.0027427
-0.440808,0.0027398
-0.440856,0.00273728
-0.440909,0.00273484
-0.440898,0.00273191
-0.440789,0.00273114
-0.440772,0.00272826
-0.440781,0.00272534
-0.440815,0.00272262
-0.440858,0.00272006
-0.440819,0.00271743
-0.440955,0.00271797
-0.441137,0.00272116
-0.441223,0.0027196
-0.441214,0.00271672
-0.441239,0.00271394
-0.44128,0.00271137
-0.441283,0.00270849
-0.441374,0.00270717
-0.441402,0.00270444
-0.441329,0.00270258
-0.441386,0.00270034
-0.441472,0.00269883
-0.441346,0.0026989
-0.441416,0.00269694
-0.441517,0.00269602
-0.441311,0.00270108
-0.441177,0.00270158
-0.441112,0.00269952
-0.441121,0.00269671
-0.441211,0.00269538
-0.441298,0.00269395
-0.441266,0.00269132
-0.441219,0.00268891
-0.441306,0.00268751
-0.441359,0.00268523
-0.441466,0.00268456
-0.441519,0.00268228
-0.441609,0.00268103
-0.44148,0.0026814
-0.441411,0.00267951
-0.441449,0.00267702
-0.441246,0.00268199
-0.441085,0.00268404
-0.441077,0.00268128
-0.44112,0.00267886
-0.441168,0.00267652
-0.441262,0.00267544
-0.441326,0.00267344
-0.441307,0.00267076
-0.441279,0.00266817
-0.441219,0.0026661
-0.441302,0.00266465
-0.441303,0.00266193
-0.441307,0.00265921
-0.441276,0.00265667
-0.441334,0.00265458
-0.441361,0.00265201
-0.441445,0.00265066
-0.441462,0.00264802
-0.441412,0.00264582
-0.441368,0.00264349
-0.441321,0.00264123
-0.441219,0.00264051
-0.441258,0.00263812
-0.441217,0.00263578
-0.441046,0.00263867
-0.44109,0.00263638
-0.441162,0.0026347
-0.44115,0.00263208
-0.441191,0.00262975
-0.441026,0.00263228
-0.44097,0.00263024
-0.441043,0.00262862
-0.441102,0.00262665
-0.441136,0.00262425
-0.441156,0.0026217
-0.441229,0.0026201
-0.441231,0.00261749
-0.441288,0.0026155
-0.441337,0.00261337
-0.441349,0.00261079
-0.441374,0.00260832
-0.44134,0.00260595
-0.441331,0.00260338
-0.441342,0.00260083
-0.4414,0.00259889
-0.441427,0.00259647
-0.441198,0.00260405
-0.441207,0.0026015
-0.44126,0.00259946
-0.441226,0.00259712
-0.441258,0.00259477
-0.44131,0.00259272
-0.441311,0.00259018
-0.441272,0.00258793
-0.441294,0.00258549
-0.441283,0.00258299
-0.441187,0.00258224
-0.441267,0.00258096
-0.441305,0.00257872
-0.441348,0.00257656
-0.441277,0.00257501
-0.441378,0.00257446
-0.441391,0.00257199
-0.441426,0.00256973
-0.441361,0.00256805
-0.441328,0.00256578
-0.441254,0.00256435
-0.441315,0.0025626
-0.441272,0.00256049
-0.441285,0.00255805
-0.441315,0.00255576
-0.441344,0.00255346
-0.441411,0.00255189
-0.441355,0.00255006
-0.441311,0.00254799
-0.4412,0.00254796
-0.441273,0.00254656
-0.441321,0.00254458
-0.441297,0.00254226
-0.441315,0.00253989
-0.441439,0.00254052
-0.441449,0.00253812
-0.441478,0.00253587
-0.441473,0.00253346
-0.441462,0.00253107
-0.441448,0.0025287
-0.441424,0.00252642
-0.44143,0.00252403
-0.441483,0.0025222
-0.441507,0.00251992
-0.441562,0.00251814
-0.441559,0.00251576
-0.441536,0.00251348
-0.441449,0.00251262
-0.441492,0.00251061
-0.441438,0.00250881
-0.441424,0.00250649
-0.441301,0.00250717
-0.44132,0.00250489
-0.441276,0.00250295
-0.441336,0.00250134
-0.441216,0.00250189
-0.441181,0.0024998
-0.441205,0.00249758
-0.440994,0.00250413
-0.441062,0.00250272
-0.441122,0.0025011
-0.441103,0.00249884
-0.441091,0.00249654
-0.441113,0.00249431
-0.441008,0.00249419
-0.440984,0.002492
-0.441067,0.00249109
-0.441045,0.00248889
-0.440845,0.00249458
-0.440858,0.00249231
-0.440903,0.00249042
-0.440961,0.00248878
-0.440934,0.00248663
-0.440891,0.00248471
-0.440965,0.00248352
-0.44106,0.00248307
-0.441022,0.00248108
-0.440993,0.00247897
-0.440983,0.00247672
-0.44094,0.00247484
-0.44089,0.00247307
-0.440932,0.00247117
-0.440948,0.00246897
-0.440985,0.00246699
-0.440957,0.0024649
-0.440908,0.00246315
-0.440884,0.00246102
-0.440938,0.00245937
-0.440921,0.0024572
-0.441014,0.00245674
-0.440985,0.00245469
-0.440931,0.00245307
-0.440988,0.00245152
-0.440992,0.0024493
-0.441127,0.00245085
-0.441241,0.0024513
-0.441302,0.00244985
-0.441298,0.00244764
-0.441312,0.00244548
-0.44134,0.00244344
